number,Date,LowTemp,AverageTemp,HighTemp,LowDew,AverageDew,HighDew
43,12/2/2020,8.89,9.67,11.11,7.78,8.44,8.89
44,13/2/2020,8.89,11.22,15,7.22,8.5,10
45,14/2/2020,5,8.67,15,3.89,6.67,8.89
46,15/2/2020,1.11,7.61,16.11,0,4.72,8.89
47,16/2/2020,1.11,9.06,17.78,1.11,5.33,10
48,17/2/2020,2.78,8.67,13.89,2.78,6.94,10
49,18/2/2020,2.78,8,13.89,1.11,4.17,7.78
50,19/2/2020,1.11,7.67,16.11,-1.11,1.11,2.78
51,20/2/2020,-2.22,6.78,17.22,-2.78,0.44,2.78
52,21/2/2020,-1.11,8.83,20,-2.78,-0.61,2.78
53,22/2/2020,-1.11,9.17,22.22,-2.78,-0.11,2.78
54,23/2/2020,1.11,10.28,22.22,-2.22,-0.17,2.22
55,24/2/2020,0,10.28,21.11,-2.22,0.61,2.22
56,25/2/2020,1.11,9.22,18.89,-6.11,2,6.11
57,26/2/2020,7.22,11.44,16.11,-2.78,0.94,5
58,27/2/2020,1.11,11.56,18.89,-2.22,1.06,3.89
59,28/2/2020,2.22,10.72,18.89,0,1.67,3.89
60,29/2/2020,5,10.44,13.89,1.11,5.06,8.89
61,1/3/2020,8.89,11.44,15,3.89,7.22,11.11
62,2/3/2020,7.78,11.17,12.78,-5,3.61,10
63,3/3/2020,7.22,10.5,16.11,-1.11,4.72,10
64,4/3/2020,11.11,14.61,18.89,3.89,7.78,10
65,5/3/2020,11.11,12.89,16.11,1.11,6.11,10
66,6/3/2020,7.22,9.67,12.78,-5,-1.28,2.22
67,7/3/2020,1.11,8.28,16.11,-5,-0.5,2.78
68,8/3/2020,-1.11,8.39,16.11,-2.22,1.67,5
69,9/3/2020,5,12.11,17.78,0,2.33,5
70,10/3/2020,3.89,12.44,22.78,0,2.44,6.11
71,11/3/2020,5,14.78,25,3.89,6.28,8.89
72,12/3/2020,7.22,15.72,25,3.89,7.06,8.89
73,13/3/2020,7.78,15.78,22.78,5,7.11,8.89
74,14/3/2020,7.22,15.17,22.22,5,6.72,8.89
75,15/3/2020,6.11,12.72,20,2.22,5.94,11.11
76,16/3/2020,3.89,7.28,12.22,1.11,4.11,8.89
77,17/3/2020,5,10.44,17.22,2.78,6.44,8.89
78,18/3/2020,7.78,12.39,17.22,7.22,7.78,10
79,19/3/2020,8.89,12.72,17.22,3.89,6.56,8.89
80,20/3/2020,7.78,11.61,12.78,5,6.28,7.22
81,21/3/2020,7.78,9,10,5,6.5,8.89
82,22/3/2020,6.11,9.17,12.22,5,7,7.78
83,23/3/2020,7.78,10.22,16.11,5,7.44,8.89
84,24/3/2020,8.89,11.89,16.11,5,6.22,7.22
85,25/3/2020,7.22,11.67,17.22,1.11,4.39,7.22
86,26/3/2020,2.78,9,16.11,-8.89,-2.44,2.22
87,27/3/2020,2.22,6.44,12.22,-2.78,0.44,2.78
88,28/3/2020,-1.11,7.89,16.11,-5,-0.11,2.78
89,29/3/2020,1.11,10.78,18.89,0,1.33,2.78
90,30/3/2020,2.22,6.28,12.78,-2.22,0.61,2.78
91,31/3/2020,1.11,4.61,11.11,0,3.83,8.89
92,1/4/2020,7.22,9.44,13.89,2.78,6.89,8.89
93,2/4/2020,1.11,8.33,15,0,4.22,7.78
94,3/4/2020,2.22,10.06,17.22,-1.11,2.44,6.11
95,4/4/2020,2.22,10.56,17.78,1.11,3.67,6.11
96,5/4/2020,7.78,14.33,20,5,7.22,8.89
97,6/4/2020,12.22,15,18.89,7.78,10.56,12.78
98,7/4/2020,11.11,14.17,17.78,10,12.33,15
99,8/4/2020,10,15.72,22.22,7.78,10.89,12.78
100,9/4/2020,11.11,13.33,16.11,7.22,10,12.78
101,10/4/2020,10,12.28,15,10,11.39,12.78
102,11/4/2020,11.11,14.56,18.89,7.78,10.06,11.11
103,12/4/2020,10,14.72,20,3.89,6.39,10
104,13/4/2020,7.78,12.83,18.89,3.89,7.56,11.11
105,14/4/2020,8.89,12.61,17.78,7.78,10,12.78
106,15/4/2020,8.89,12.78,17.22,7.78,9.94,12.22
107,16/4/2020,10,13.94,18.89,8.89,10.78,12.78
108,17/4/2020,11.11,15.06,18.89,7.78,10,12.78
109,18/4/2020,7.78,14.44,21.11,7.22,9.5,12.22
110,19/4/2020,11.11,13.94,18.89,7.22,10.11,11.11
111,20/4/2020,6.11,12.78,18.89,6.11,7.67,10
112,21/4/2020,8.89,11.89,16.11,6.11,7.5,8.89
113,22/4/2020,10,14.72,20,6.11,7.72,11.11
114,23/4/2020,11.11,15.39,21.11,7.78,10.5,12.22
115,24/4/2020,10,16.33,22.78,7.78,10.17,12.22
116,25/4/2020,8.89,15.89,22.78,8.89,9.56,11.11
117,26/4/2020,11.11,15.39,21.11,6.11,9.56,12.22
118,27/4/2020,10,14.06,17.78,5,6.72,7.78
119,28/4/2020,7.22,12.5,17.78,3.89,5.94,7.78
120,29/4/2020,6.11,13.94,20,3.89,6.11,8.89
121,30/4/2020,12.22,15.33,20,7.22,8.5,11.11
122,1/5/2020,10,16.61,22.78,8.89,11.17,12.78
123,2/5/2020,10,19,26.11,8.89,11.61,13.89
124,3/5/2020,10,20,28.89,8.89,10.78,12.78
125,4/5/2020,12.78,21.56,32.22,7.22,11.22,13.89
126,5/5/2020,12.78,19.61,25,-6.11,4.5,10
127,6/5/2020,6.11,16.67,27.22,-2.22,2.56,6.11
128,7/5/2020,10,19.39,27.22,5,8.61,12.22
129,8/5/2020,12.78,21.44,27.78,7.78,9.17,12.22
130,9/5/2020,13.89,19.61,23.89,5,9.39,12.78
131,10/5/2020,11.11,15.72,20,3.89,7.44,11.11
132,11/5/2020,12.22,16.06,20,7.22,8.61,12.78
133,12/5/2020,11.11,13.22,16.11,8.89,10.89,12.22
134,13/5/2020,11.11,14.56,18.89,7.22,9,11.11
135,14/5/2020,10,12.5,16.11,6.11,8.5,10
136,15/5/2020,8.89,13.17,18.89,7.22,9.89,12.22
137,16/5/2020,11.11,14.83,21.11,7.22,9.72,12.22
138,17/5/2020,7.78,16.22,22.78,5,6.83,8.89
139,18/5/2020,8.89,18.89,27.78,2.78,6.61,8.89
140,19/5/2020,11.11,20.67,28.89,3.89,7.72,11.11
141,20/5/2020,12.22,22.11,31.11,-1.11,6.5,11.11
142,21/5/2020,12.22,22.72,32.22,2.78,7,10
143,22/5/2020,12.78,24,32.78,8.89,10.39,12.22
144,23/5/2020,15,24.83,33.89,7.78,11.56,15
145,24/5/2020,16.11,23.89,31.11,10,11.83,13.89
146,25/5/2020,17.22,22.17,30,10,14.39,18.89
147,26/5/2020,13.89,20.67,26.11,12.22,14.22,16.11
148,27/5/2020,15,22.72,31.11,7.22,10.78,13.89
149,28/5/2020,13.89,22.67,28.89,5,8.22,12.22
150,29/5/2020,12.78,22.72,32.22,5,8.78,11.11
151,30/5/2020,15,24.06,32.78,5,8.94,12.22
152,31/5/2020,17.22,22.22,30,6.11,10.33,15
153,1/6/2020,13.89,21.78,28.89,8.89,13.17,16.11
154,2/6/2020,16.11,23.67,31.11,5,11,13.89
155,3/6/2020,13.89,22.33,28.89,8.89,11.33,16.11
156,4/6/2020,15,19.06,25,3.89,11.06,17.22
157,5/6/2020,11.11,20.17,28.89,5,7.28,8.89
158,6/6/2020,12.78,22.22,27.78,5,8.67,12.22
159,7/6/2020,13.89,19.89,25,3.89,9.39,15
160,8/6/2020,11.11,16.72,22.78,1.11,4,10
161,9/6/2020,8.89,16.78,23.89,2.22,3.94,6.11
162,10/6/2020,10,19.06,26.11,2.78,4.44,6.11
163,11/6/2020,16.11,20.44,23.89,2.78,7.33,11.11
164,12/6/2020,12.22,16.44,22.22,2.78,4.89,10
165,13/6/2020,11.11,17.67,25,3.89,6.83,11.11
166,14/6/2020,11.11,19.72,26.11,3.89,6.39,7.78
167,15/6/2020,12.78,21.72,27.78,5,7.28,8.89
168,16/6/2020,15,21.39,26.11,3.89,7.78,10
169,17/6/2020,13.89,21.17,27.22,2.78,5.56,7.78
170,18/6/2020,13.89,22.33,30,2.78,6.83,10
171,19/6/2020,13.89,23.61,31.11,1.11,8.67,13.89
172,20/6/2020,13.89,25.28,32.78,1.11,5.06,7.22
173,21/6/2020,16.11,26.56,35,3.89,6.56,7.78
174,22/6/2020,18.89,27.61,36.11,3.89,8.33,11.11
175,23/6/2020,20,28.89,37.22,2.22,8.33,12.22
176,24/6/2020,22.22,28,33.89,7.22,10.78,13.89
177,25/6/2020,18.89,27.94,36.11,8.89,10.89,12.78
178,26/6/2020,18.89,26.28,32.22,1.11,8.78,15
179,27/6/2020,17.22,25.72,32.78,2.78,7.22,10
180,28/6/2020,17.78,27.61,35,6.11,10.06,12.22
181,29/6/2020,18.89,29.44,37.78,-1.11,8,12.78
182,30/6/2020,21.11,30.56,37.78,3.89,10.72,15
183,1/7/2020,20,29.83,36.11,2.78,9.56,13.89
184,2/7/2020,17.78,27.44,33.89,2.78,7.17,11.11
185,3/7/2020,17.22,24.83,32.22,3.89,7.89,12.22
186,4/7/2020,17.22,26.56,35,-1.11,3.72,7.22
187,5/7/2020,17.78,28.67,37.22,-2.22,5.17,11.11
188,6/7/2020,21.11,30.06,37.78,5,10.83,12.78
189,7/7/2020,21.11,30.67,38.89,1.11,6.44,12.22
190,8/7/2020,22.78,30.28,37.22,3.89,8,11.11
191,9/7/2020,21.11,26.67,33.89,7.22,10.22,12.78
192,10/7/2020,17.78,25.94,33.89,7.78,10.78,12.78
193,11/7/2020,21.11,29.17,37.22,7.78,11.5,15
194,12/7/2020,22.78,27.11,33.89,11.11,14.17,17.22
195,13/7/2020,17.22,26.89,35,10,11.72,12.78
196,14/7/2020,20,26.56,33.89,-1.11,6.67,13.89
197,15/7/2020,17.78,25.83,33.89,2.78,7.33,12.22
198,16/7/2020,17.78,27.44,36.11,2.78,7.89,10
199,17/7/2020,21.11,28.56,36.11,0,4.94,11.11
200,18/7/2020,17.22,27.39,37.22,-7.22,5.44,12.78
201,19/7/2020,18.89,28.89,37.78,0,6.06,12.78
202,20/7/2020,18.89,29.06,37.78,-1.11,5.33,11.11
203,21/7/2020,21.11,29.5,36.11,2.78,10.33,16.11
204,22/7/2020,18.89,27.06,33.89,7.78,13.06,18.89
205,23/7/2020,18.89,29.39,37.78,7.78,11.28,13.89
206,24/7/2020,21.11,30.44,37.78,5,9.89,13.89
207,25/7/2020,22.22,30.17,37.78,1.11,9.11,13.89
208,26/7/2020,20,30.83,40,-1.11,6.06,8.89
209,27/7/2020,22.22,32.28,42.22,3.89,8.44,12.78
210,28/7/2020,23.89,31.83,37.22,7.78,10.61,13.89
211,29/7/2020,22.22,31,38.89,5,11,13.89
212,30/7/2020,23.89,32.39,41.11,3.89,11.72,17.22
213,31/7/2020,20,30.78,38.89,0,7.72,12.22
214,1/8/2020,18.89,30.56,38.89,-6.11,3.89,7.22
215,2/8/2020,20,28.56,37.22,2.22,9.28,13.89
216,3/8/2020,18.89,26.28,32.78,3.89,7.78,11.11
217,4/8/2020,17.78,26.06,33.89,6.11,8.61,10
218,5/8/2020,18.89,28.22,36.11,3.89,8.22,15
219,6/8/2020,22.22,30.44,37.78,6.11,10.72,17.22
220,7/8/2020,22.78,31.78,38.89,10,11.33,12.78
221,8/8/2020,22.78,30.89,37.22,7.78,10,12.22
222,9/8/2020,22.22,30.83,38.89,7.22,9.28,11.11
223,10/8/2020,23.89,28.22,32.78,7.22,10.61,15
224,11/8/2020,16.11,21.22,27.22,12.22,15.72,18.89
225,12/8/2020,13.89,21.17,27.78,10,13.5,15
226,13/8/2020,16.11,23.72,31.11,7.78,12.06,13.89
227,14/8/2020,17.22,25.67,32.78,7.22,10.72,13.89
228,15/8/2020,17.22,25.11,30,-1.11,5.06,11.11
229,16/8/2020,13.89,22.67,28.89,3.89,6.56,7.78
230,17/8/2020,13.89,22.89,30,5,8.72,12.22
231,18/8/2020,17.78,25.44,32.22,11.11,12.22,13.89
232,19/8/2020,17.22,26.28,33.89,2.78,9.72,12.78
233,20/8/2020,15,25.83,35,-2.78,3.11,7.22
234,21/8/2020,20,26.94,32.78,2.22,11.28,17.78
235,22/8/2020,18.89,26.94,33.89,2.22,9.94,16.11
236,23/8/2020,20,27,33.89,0,6,12.22
237,24/8/2020,18.89,26.83,35,3.89,9.39,17.22
238,25/8/2020,17.78,27.67,36.11,2.78,8.5,16.11
239,26/8/2020,17.78,28.22,37.78,2.78,6.78,10
240,27/8/2020,18.89,29.06,37.78,3.89,6.78,10
241,28/8/2020,18.89,27.06,32.78,-5,6.39,12.22
242,29/8/2020,15,19.67,23.89,1.11,4.72,10
243,30/8/2020,10,17.28,22.78,0,2.5,6.11
244,31/8/2020,10,18.5,26.11,-1.11,2.56,5
245,1/9/2020,12.78,19.89,28.89,0,1.83,2.78
246,2/9/2020,16.11,22.61,30,2.22,4.5,7.78
247,3/9/2020,13.89,23.5,32.22,-1.11,4.5,12.22
248,4/9/2020,16.11,24.5,32.78,1.11,6.28,12.22
249,5/9/2020,15,24.83,33.89,3.89,7.22,11.11
250,6/9/2020,16.11,26,33.89,3.89,7.28,10
251,7/9/2020,13.89,21.17,27.78,-1.11,4.61,10
252,8/9/2020,12.78,19.89,27.22,2.22,4.44,7.22
253,9/9/2020,12.22,21.28,28.89,2.78,4.56,7.22
254,10/9/2020,16.11,24,31.11,5,8.11,10
255,11/9/2020,16.11,24.83,32.78,5,6.44,8.89
256,12/9/2020,16.11,25,32.78,2.22,6.61,10
257,13/9/2020,17.78,25.56,32.78,6.11,8.06,11.11
258,14/9/2020,17.22,25,31.11,7.78,10.28,12.22
259,15/9/2020,17.78,23.67,28.89,10,14.5,17.78
260,16/9/2020,16.11,23.61,31.11,8.89,12.11,16.11
261,17/9/2020,17.78,22.39,27.22,13.89,15.44,17.78
262,18/9/2020,15,17.94,21.11,12.78,15.17,17.78
263,19/9/2020,13.89,17.22,20,12.22,13.44,15
264,20/9/2020,16.11,18.78,22.78,12.22,14,16.11
265,21/9/2020,12.78,18,25,7.78,11.67,15
266,22/9/2020,12.22,18.67,25,7.78,10.72,12.22
267,23/9/2020,16.11,20.28,25,11.11,12.89,15
268,24/9/2020,17.22,19.72,22.78,6.11,13.28,16.11
269,25/9/2020,12.78,16.17,20,2.22,3.72,7.22
270,26/9/2020,7.78,15.17,22.22,2.78,4.5,8.89
271,27/9/2020,13.89,17.72,22.22,1.11,6.33,10
272,28/9/2020,6.11,14.61,23.89,-1.11,3.11,6.11
273,29/9/2020,8.89,16.94,26.11,1.11,4.39,7.22
274,30/9/2020,8.89,17.78,27.22,2.78,5.44,7.22
275,1/10/2020,11.11,17.88,22.78,6.11,8.02,10
276,2/10/2020,12.22,14.52,17.78,0,6.36,13.89
277,3/10/2020,8.89,13.1,17.78,1.11,2.19,2.78
278,4/10/2020,7.78,13.86,18.89,2.22,3.94,8.89
279,5/10/2020,10,15.16,20,2.22,4.11,6.11
280,6/10/2020,7.22,17.87,26.11,5,8.45,12.78
281,7/10/2020,8.89,17.66,26.11,7.78,10.32,12.22
282,8/10/2020,11.11,17.49,26.11,7.78,10.26,12.22
283,9/10/2020,8.89,17.76,27.22,7.22,9.64,12.78
284,10/10/2020,10,17.16,23.89,5,8.6,12.22
285,11/10/2020,7.78,13.29,18.89,1.11,2.76,5
286,12/10/2020,8.89,13.15,18.89,0,2.09,3.89
287,13/10/2020,6.11,14.47,22.78,2.22,4.81,8.89
288,14/10/2020,10,14.31,17.22,-1.11,2.16,6.11
289,15/10/2020,6.11,11.32,17.22,1.11,2.09,2.78
290,16/10/2020,2.22,9.18,16.11,-1.11,0.35,1.11
291,17/10/2020,1.11,9.31,18.89,-1.11,0.84,2.78
292,18/10/2020,2.78,11.57,22.22,1.11,2.54,5
293,19/10/2020,5,14.08,22.78,2.22,4.32,7.22
294,20/10/2020,12.22,15.63,20,6.11,10.82,13.89
295,21/10/2020,13.89,15.57,20,11.11,12.03,13.89
296,22/10/2020,12.22,14.51,17.22,11.11,12.07,12.78
297,23/10/2020,7.78,11.93,15,6.11,8.97,11.11
298,24/10/2020,5,10.03,16.11,5,7.66,10
299,25/10/2020,7.22,11.43,16.11,6.11,8.96,12.22
300,26/10/2020,7.78,10.34,12.78,1.11,2.5,5
301,27/10/2020,5,12.58,16.11,2.22,4.37,7.78
302,28/10/2020,6.11,10.23,12.78,5,8.62,11.11
303,29/10/2020,8.89,12.55,16.11,7.22,8.98,10
304,30/10/2020,3.89,10.62,18.89,2.78,7.23,11.11
305,31/10/2020,6.11,12.72,22.22,5,8.49,11.11
306,1/11/2020,7.22,13.14,21.11,6.11,9.32,12.22
307,2/11/2020,7.78,13.52,21.11,7.22,10.04,12.22
308,3/11/2020,11.11,12.85,15,7.22,10.92,13.89
309,4/11/2020,7.22,9.41,12.22,2.78,5.82,8.89
310,5/11/2020,7.78,10.86,13.89,6.11,8.98,12.22
311,6/11/2020,8.89,14.33,20,7.78,10.76,12.78
312,7/11/2020,8.89,12.89,16.11,7.78,10.51,12.78
313,8/11/2020,7.22,7.78,8.89,7.22,7.5,7.78
314,9/11/2020,7.78,11.11,15,7.78,9.56,11.11
315,10/11/2020,5,10,17.22,3.89,6.98,10
316,11/11/2020,3.89,9.02,15,3.89,6.45,8.89
317,12/11/2020,6.11,9.68,15,5,7.43,10
318,13/11/2020,6.11,10.53,16.11,5,7.29,8.89
319,14/11/2020,8.89,10.74,12.78,7.78,9.48,12.22
320,15/11/2020,12.22,13.84,17.22,11.11,12.52,13.89
321,16/11/2020,11.11,13.63,17.78,10,12.08,12.78
322,17/11/2020,5,10.07,16.11,5,8.8,12.22
323,18/11/2020,7.78,9.55,12.78,7.22,8.92,11.11
324,19/11/2020,5,11.82,21.11,5,7.95,11.11
325,20/11/2020,3.89,10.28,17.22,-2.22,3.17,7.22
326,21/11/2020,1.11,7.16,15,-2.78,1.03,5
327,22/11/2020,0,5.97,13.89,-2.22,1.58,5
328,23/11/2020,0,6.64,16.11,0,2.33,3.89
329,24/11/2020,0,5.54,12.78,-1.11,2.31,5
330,25/11/2020,2.22,6.88,12.22,2.22,4.68,7.78
331,26/11/2020,7.78,9.99,12.78,6.11,7.77,8.89
332,27/11/2020,6.11,8.69,12.22,6.11,7.14,7.78
333,28/11/2020,5,7.89,10,5,6.72,7.78
334,29/11/2020,3.89,7.23,12.22,3.89,5.81,7.22
335,30/11/2020,2.22,6.61,15,2.22,5.01,8.89
336,1/12/2020,0,7.18,16.11,-1.11,2.9,7.22
337,2/12/2020,3.89,8.48,11.11,-2.78,0.06,2.78
338,3/12/2020,-2.78,3.31,8.89,-3.89,-1.83,0
339,4/12/2020,2.78,6.35,7.78,-2.78,0.22,6.11
340,5/12/2020,-1.11,4.53,7.78,-2.78,-2.04,0
341,6/12/2020,2.78,5.37,7.78,-2.22,-0.94,2.22
342,7/12/2020,6.11,9,12.78,2.22,5.26,7.22
343,8/12/2020,3.89,7.23,10,-2.22,0.61,5
344,9/12/2020,-1.11,5.18,10,-2.22,-0.56,1.11
345,10/12/2020,5,10.23,15,1.11,6.8,10
346,11/12/2020,12.78,14.44,17.22,5,11.24,12.78
347,12/12/2020,6.11,11.53,13.89,2.78,3.24,3.89
348,13/12/2020,3.89,6.44,12.22,0,4.01,7.78
349,14/12/2020,7.22,9.87,13.89,7.22,8.13,10
350,15/12/2020,5,9.08,5,2.78,5.81,10
351,16/12/2020,2.78,6.5,11.11,2.22,4.83,7.78
352,17/12/2020,6.11,9.28,15,6.11,7.34,8.89
353,18/12/2020,2.22,6.67,10,2.22,5.53,7.78
354,19/12/2020,7.22,7.72,7.78,7.22,7.39,7.78
355,20/12/2020,3.89,7.47,12.22,3.89,6.2,7.78
356,21/12/2020,5,7.33,8.89,3.89,6.67,7.78
357,22/12/2020,7.22,7.79,10,6.11,7.18,7.78
358,23/12/2020,6.11,7.23,8.89,6.11,6.94,7.78
359,24/12/2020,6.11,8.51,11.11,0,6.1,7.78
360,25/12/2020,0,4.68,8.89,-6.11,-2.52,0
361,26/12/2020,-2.78,2.23,10,-5,-3.55,-2.22
362,27/12/2020,-5,1.32,7.22,-5,-2.54,1.11
363,28/12/2020,5,7.34,10,-2.78,0.08,6.11
364,29/12/2020,0,4.39,7.78,-2.22,-0.63,2.22
365,30/12/2020,-1.11,4.02,8.89,-3.89,-2.51,-1.11
366,31/12/2020,-3.89,1.94,7.78,-6.11,-0.84,3.89
